# Created by create_gmm.py, IMP.isd version 2.15.0
# data_fn: EMD_9171_Pinhead_1-2_gmm.txt
# ncenters: 35
# covar_type: 'full'
# apix: 2.0
# num_samples: 1000000
# num_iter: 10000000
# threshold: 2.95
# force_radii: -1.0
# force_weight: -1.0
# force_weight_frac: False
# use_dirichlet: False
# multiply_by_mass: False
# chain: None
#|num|weight|mean|covariance matrix|
|0|0.025189364319481797|321.16158892953365 229.66188730590295 247.46400633082024|39.50553294894877 -6.506619828644858 -11.770123917778214 -6.506619828644858 47.27200124115851 -2.221631987247661 -11.770123917778212 -2.221631987247659 62.086036336027284|
|1|0.04512268912037509|238.4797560807658 270.60435869449276 283.28732486658237|58.022389959305805 23.27176465344384 -8.645795594706772 23.27176465344384 98.18125169909007 -12.111920187543959 -8.645795594706772 -12.111920187543953 93.45730907823526|
|2|0.02493869161282423|311.6500755244187 269.3060447179463 304.5391851436545|30.851902752591197 3.1108503023899505 -2.281778972496184 3.1108503023899505 126.68617098851009 -12.709459262631267 -2.281778972496184 -12.709459262631269 77.11093010987933|
|3|0.03313674995796068|230.2021303983649 268.434828807168 209.60858431355652|75.05013340791172 37.34549315471828 -26.487356586554107 37.34549315471827 119.05070857167067 -22.870638736687702 -26.4873565865541 -22.870638736687706 53.460586124720145|
|4|0.03924422485996592|298.68788299405253 253.65682598252528 217.59809576581983|62.21608169240559 13.408498460104319 0.5585395222227483 13.408498460104322 59.90332308469999 9.7763554505809 0.5585395222227554 9.7763554505809 56.495854453809834|
|5|0.01862940046714587|175.89861177520132 253.51760448512007 312.05397095385405|32.7831603170697 23.112043431003833 -5.380269812585266 23.11204343100383 87.44308792462868 11.088870829387421 -5.380269812585265 11.088870829387421 197.73320500957053|
|6|0.029886999246946207|290.32829693897577 298.5460421793584 267.27330053903125|97.36706030945648 26.20738086721842 6.779683311758759 26.20738086721841 120.75927270642698 4.791497242355657 6.77968331175876 4.791497242355658 34.404522336179035|
|7|0.048817305863492075|185.5836399267223 242.56884935352747 252.18448074594485|86.06399583196836 0.4455781788432276 -31.881126502292812 0.4455781788432276 244.60224033415085 79.7405922377364 -31.881126502292812 79.74059223773638 168.05871578653134|
|8|0.025457091240276265|226.49136543377662 232.55520097039556 297.453317125218|66.96986109098054 -17.12188183854561 2.3507287753410964 -17.12188183854562 84.65486455951304 -9.754350712781655 2.3507287753410964 -9.75435071278165 52.973765521870604|
|9|0.024502411234327552|265.38201741350485 306.0661438232354 213.70582571495495|113.9375303257965 5.5976610386481305 -6.070508736718414 5.5976610386481305 56.93487228131849 -9.453763811859847 -6.070508736718413 -9.453763811859853 59.22189343855961|
|10|0.02916686924526905|327.4457149859803 227.73900075261065 330.13502691820935|34.89238389452092 -5.0146079538692 -7.407485109114265 -5.0146079538692 50.78791377660851 -2.3591112655610127 -7.407485109114263 -2.359111265561012 60.07143873096344|
|11|0.03863457687252531|211.6487263813652 238.2994133211325 220.55857944210584|96.15341033039451 7.574036662378865 -7.608619363176613 7.574036662378865 79.79466401531029 -6.597070507525732 -7.608619363176619 -6.597070507525737 69.72593797116295|
|12|0.025234626668307593|277.9340302994859 276.460942615868 271.80492009554393|114.18178679071578 5.242800612358557 22.432992483167464 5.2428006123585575 31.185438166167387 -21.818533022514547 22.432992483167446 -21.818533022514547 105.57980903444671|
|13|0.037787647313280937|298.57328287732867 299.13990482382076 211.001858838425|80.28813190938739 -18.507095306203997 5.37711711443862 -18.507095306203997 76.13254325099348 -16.806766306847173 5.377117114438619 -16.806766306847173 58.46251982840993|
|14|0.03020691457162022|192.6563239780196 245.63039316919603 329.45793804787|59.39336183191834 -16.712914702584033 7.646633477255703 -16.71291470258403 207.25515159430157 -10.470725575621675 7.646633477255703 -10.470725575621671 81.78187947690908|
|15|0.02288234108489983|323.90415289801217 228.6939258421282 301.93252878211075|64.92940911938375 -23.00786660832475 22.211021333902895 -23.007866608324747 49.581363973114634 -13.218966910818352 22.211021333902885 -13.218966910818358 68.02507016364314|
|16|0.040254806167812816|255.6380751638055 287.9355691455364 293.78377528415695|119.03189395711165 -17.482797202480377 4.120187079357031 -17.482797202480377 67.68993707075265 8.081921716553513 4.120187079357029 8.08192171655351 79.78312555403518|
|17|0.016026367152798468|318.48621644171095 246.5187836014637 250.50788678029548|41.58996188797305 -39.53186121485441 5.059236125245988 -39.53186121485441 88.42917474808996 -18.03729847889493 5.059236125245989 -18.037298478894925 33.776027023585264|
|18|0.013192774981146325|241.30764352650155 299.20320715265376 212.14531346859445|102.04252141195059 -19.4449645264696 -38.295348828788796 -19.444964526469597 64.26685147915447 12.63995693251817 -38.29534882878879 12.639956932518176 45.586107435234055|
|19|0.02251694040454078|219.37000919539247 252.45683250861538 295.16560298152024|151.7584012098016 28.074913308733798 -20.13753019403437 28.074913308733798 72.1534113773452 -5.269842106285488 -20.137530194034362 -5.269842106285488 46.019836069378506|
|20|0.03714479967424683|264.0390191262189 292.2594435630123 264.2583691696495|59.690204878843446 10.520677160280584 -13.758089970377906 10.520677160280588 123.10446988973463 -3.4406343591976682 -13.75808997037791 -3.4406343591976705 71.96923535887748|
|21|0.03241588658559873|299.91096108484714 287.0590318147347 296.7649131881517|98.04501591940225 0.7826406567734061 18.38188889303017 0.7826406567734043 65.82926638937364 3.2931137278270946 18.38188889303017 3.2931137278270963 55.32993037517531|
|22|0.022460868732285567|321.12154530649775 230.86699609402092 219.03095857937953|45.942496869648544 0.6813926810967557 6.900587309699679 0.6813926810967557 48.49609118972542 -17.14127057124096 6.90058730969968 -17.141270571240966 60.194883030543366|
